Test image 																			SSIM		CORREL		SURF		RANK			COUNTER		TIME

Match 																				Room/Image	Room/Image	Room/Image	Room/Image		Room/Image

../Test_Pics_B11/1OG_Flur192/Object_Test/0_3_h_1OG_Flur192.jpg						1/1			0/0			1/1			[1]/[1]			[1]/[1]		16.203781127929688

../Test_Pics_B11/1OG_Flur194/Object_Test/0_3_f_1OG_Flur194.jpg						1/1			0/0			1/1			[1]/[1]			[1]/[1]		15.18578028678894

../Test_Pics_B11/2OG_Flur292/Object_Test/0_3_hf_2OG_Flur292.jpg						1/1			1/1			1/1			[1]/[1]			[1]/[1]		2.0516388416290283

../Test_Pics_B11/2OG_Flur292/Object_Test/1_3_h_2OG_Flur292.jpg						0/0			0/0			1/1			[0]/[0]			[0]/[0]		16.925931930541992

../Test_Pics_B11/2OG_Flur292/Object_Test/2_3_h_2OG_Flur292.jpg						1/1			0/0			0/0			[0]/[0]			[0, 1]/[1]	10.716526985168457

../Test_Pics_B11/2OG_Flur295/Object_Test/2_3_f_2OG_Flur295.jpg						1/1			1/1			1/1			[1]/[1]			[1]/[1]		14.855070352554321

../Test_Pics_B11/2OG_Flur295/Object_Test/0_3_f_2OG_Flur295.jpg						1/1			1/1			1/0			[1, 1]/[1, 1]	[1]/[1]		10.76842474937439

../Test_Pics_B11/2OG_Flur295/Object_Test/1_3_f_2OG_Flur295.jpg						1/1			1/1			1/1			[1]/[1]			[1]/[1]		13.897804975509644

../Test_Pics_B11/2OG_Flur296/Object_Test/0_3_f_2OG_Flur296.jpg						1/1			1/1			0/0			[1]/[1]			[1]/[1]		10.209789991378784

../Test_Pics_B11/2OG_Flur296/Object_Test/1_3_f_2OG_Flur296.jpg						1/1			0/0			0/0			[0]/[0]			[0, 0]/[0]	15.461150884628296

../Test_Pics_B11/2OG_Flur297/Object_Test/2_3_hf_2OG_Flur297.jpg						1/1			1/1			1/0			[1]/[1]			[1]/[1]		6.1859822273254395

../Test_Pics_B11/3OG_Flur392/Object_Test/0_3_h_3OG_Flur392.jpg						0/0			1/1			1/1			[1]/[1]			[1]/[1]		14.34749698638916

../Test_Pics_B11/3OG_Flur394/Object_Test/0_3_f_3OG_Flur394.jpg						1/1			0/0			1/1			[1]/[1]			[1]/[1]		10.737120151519775

../Test_Pics_B11/3OG_Flur394/Object_Test/2_3_f_3OG_Flur394.jpg						1/1			1/0			1/1			[1]/[1]			[1]/[1]		15.944612979888916

../Test_Pics_B11/3OG_Flur394/Object_Test/3_3_h_3OG_Flur394.jpg						1/1			0/0			1/1			[1]/[1]			[1]/[1]		10.174875974655151

../Test_Pics_B11/3OG_Flur394/Object_Test/4_3_h_3OG_Flur394.jpg						1/1			0/0			1/1			[1]/[1]			[1]/[1]		11.611456155776978

../Test_Pics_B11/3OG_R307/Object_Test/0_4_h_3OG_R307.jpg							1/1			0/0			0/0			[1]/[1]			[1, 0]/[1]	12.384806156158447

../Test_Pics_B11/3OG_R307/Object_Test/1_3_h_3OG_R307.jpg							1/1			0/0			1/1			[1]/[1]			[1]/[1]		14.247417211532593

../Test_Pics_B11/3OG_R308/Object_Test/1_4_h_3OG_R308.jpg							1/1			1/1			1/1			[1]/[1]			[1]/[1]		12.409626007080078

../Test_Pics_B11/3OG_R308/Object_Test/0_3_h_3OG_R308.jpg							1/1			0/0			1/1			[1]/[1]			[1]/[1]		12.680047035217285

../Test_Pics_B11/3OG_R310/Object_Test/0_3_h_3OG_R310.jpg							1/1			1/1			1/1			[1]/[1]			[1]/[1]		9.828657865524292

../Test_Pics_B11/EG_Flur092/Object_Test/0_3_h_EG_Flur092.jpg						0/0			0/0			0/0			[0]/[0]			[0]/[0]		6.490295886993408

../Test_Pics_B11/EG_Flur092/Object_Test/1_3_h_EG_Flur092.jpg						1/1			1/1			0/0			[1]/[1]			[1]/[1]		13.915433883666992

../Test_Pics_B11/EG_Flur094/Object_Test/0_5_h_EG_Flur094.jpg						1/1			1/1			1/1			[0]/[0]			[0, 1]/[1]	11.452303171157837

../Test_Pics_B11/EG_Flur094/Object_Test/4_3_f_EG_Flur094.jpg						0/0			0/0			1/1			[0]/[0]			[0]/[0]		14.045486211776733

../Test_Pics_B11/EG_Flur094/Object_Test/1_3_h_EG_Flur094.jpg						1/1			1/1			0/0			[1]/[1]			[1]/[1]		15.062550067901611

../Test_Pics_B11/EG_Flur095/Object_Test/2_3_f_EG_Flur095.jpg						1/1			0/0			1/1			[1]/[1]			[1]/[1]		15.706148862838745

../Test_Pics_B11/EG_Flur095/Object_Test/1_3_f_EG_Flur095.jpg						1/0			1/1			0/0			[1, 1]/[1, 1]	[1]/[1]		8.639954328536987

Sum: 		28                                                       				24/23		14/13		20/18		22/22			24/24		342.14017128944397

